Unidad territorial, Variable, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021
Pedro Aguirre Cerda, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 48.54, 63.96, 57.03, 50.22, 57.6, 66.39, 66.38, 69.32, 62.5, 69.76, 63.1, 65.94, 63.85, 70.7
San Joaquín, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 42.49, 38.83, 43.22, 43.37, 40.59, 42.2, 40.11, 53.74, 48.08, 57.99, 47.24, 54.23, 48.23, 54.49
San Miguel, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 61.39, 59.97, 60.37, 58.96, 63.15, 63.04, 59.68, 63.5, 62.73, 60.58, 59.03, 60.8, 61.27, 64.22
Cerrillos, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 58.82, 61.15, 58.99, 62.82, 61.11, 62.39, 61.6, 61.76, 60.19, 64.6, 69.41, 66.18, 66.96, 68.06
Maipú, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 69.91, 68.85, 70.57, 67.92, 72.12, 71.39, 73.69, 70.32, 67.58, 71.71, 68.23, 68.94, 68.47, 69.63
María Pinto, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Lo Espejo, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 34.07, 50.6, 50.38, 52.69, 45.99, 60.23, 47.2, 51.58, 61.03, 55.36, 50.8, 52.15, 60.55, 60.0
La Florida, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 74.21, 75.15, 72.79, 72.65, 72.86, 72.41, 72.19, 71.1, 71.71, 73.63, 72.74, 70.96, 71.77, 71.89
La Cisterna, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 53.95, 52.21, 57.13, 53.76, 58.23, 54.85, 54.37, 53.24, 57.01, 59.12, 55.72, 56.8, 58.96, 61.16
La Granja, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 55.77, 54.92, 65.11, 51.54, 66.9, 58.14, 62.9, 63.27, 61.79, 57.98, 62.55, 59.76, 61.95, 61.7
San Ramón, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 77.2, 70.51, 78.5, 69.48, 71.86, 70.04, 71.79, 64.67, 64.73, 72.85, 64.19, 66.86, 61.17, 61.61
El Bosque, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 62.86, 61.36, 63.23, 61.38, 63.51, 63.81, 61.69, 63.17, 64.36, 65.51, 64.76, 65.8, 66.6, 66.86
Padre Hurtado, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 39.86, 46.12, 50.66, 47.19, 51.33, 49.89, 50.5, 54.85, 48.35, 61.44, 49.62, 56.1, 53.29, 56.08
La Pintana, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 47.08, 48.73, 51.02, 47.4, 48.77, 53.49, 54.29, 53.33, 55.3, 56.29, 53.56, 54.5, 54.24, 56.67
San Bernardo, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 67.91, 67.78, 68.48, 68.8, 71.25, 71.22, 69.45, 66.32, 66.33, 69.86, 64.77, 66.6, 64.33, 67.71
Puente Alto, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 62.59, 61.08, 63.72, 64.05, 64.69, 66.56, 67.22, 65.36, 65.29, 69.09, 66.01, 68.7, 67.02, 67.28
Peñaflor, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 36.89, 47.79, 45.14, 46.38, 53.32, 51.68, 52.99, 50.0, 55.05, 59.93, 53.65, 51.74, 52.82, 54.19
Calera De Tango, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 66.67, 16.67, 25.0, 20.51, 26.47, 33.33, 47.17, 27.54, 36.36, 31.82, 38.03, 49.09, 37.5, 42.31
Pirque, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 45.37, 44.35, 37.41, 38.57, 46.9, 36.73, 45.07, 47.06, 25.0, 32.81, 32.31, 36.36, 35.59, 38.18
San José De Maipo, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 59.52, 63.16, 60.47, 68.0, 54.79, 65.15, 71.67, 63.46, 68.18, 73.85, 76.12, 61.19, 75.0, 72.58
Talagante, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 56.7, 52.62, 58.12, 61.81, 59.31, 62.32, 62.94, 61.39, 58.01, 60.43, 58.85, 55.39, 54.78, 61.84
El Monte, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 4.76, 5.56, 14.29, 9.68, 12.77, 29.33, 25.56, 33.73, 47.06, 38.55, 37.63, 39.02, 51.02, 43.55
Melipilla, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 59.88, 59.59, 57.55, 58.12, 54.68, 54.66, 53.2, 55.86, 54.75, 62.38, 57.1, 60.99, 60.76, 59.26
Buin, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 56.57, 48.55, 54.01, 56.85, 60.0, 61.05, 66.94, 67.01, 59.18, 66.74, 65.38, 64.01, 56.92, 64.66
Isla De Maipo, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 50.0, 41.18, 46.03, 48.57, 36.0, 62.5, 61.79, 49.59, 60.98, 58.65, 57.02, 64.96, 60.16, 55.36
Paine, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 60.2, 55.69, 61.69, 61.06, 70.81, 68.1, 71.6, 69.92, 68.91, 71.16, 65.04, 75.24, 65.85, 65.38
San Pedro, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Alhué, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
