Unidad territorial, Variable, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021
San Joaquín, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 40.08, 30.49, 30.39, 35.39, 34.55, 35.68, 35.25, 32.24, 33.33, 32.04, 32.81, 27.59, 43.15, 31.62
San Miguel, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 53.56, 51.79, 55.82, 56.55, 55.28, 51.27, 51.41, 48.6, 46.06, 51.32, 52.3, 43.46, 45.72, 50.6
Cerrillos, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 20.97, 18.18, 19.61, 21.05, 11.11, 16.67, 10.71, 20.0, 10.64, 29.03, 13.33, 24.24, 42.86, 39.13
Maipú, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 57.98, 53.16, 62.37, 62.09, 65.15, 63.58, 69.0, 60.19, 68.36, 66.15, 68.2, 65.63, 71.38, 71.64
María Pinto, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 21.67, 17.86, 19.3, 13.51, 22.58, 17.46, 29.31, 27.27, 32.35, 35.29, 33.33, 29.85, 20.99, 42.86
Lo Espejo, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 10.17, 15.48, 16.8, 14.42, 11.7, 16.98, 13.01, 13.79, 17.36, 21.95, 17.2, 14.56, 22.22, 13.33
La Florida, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 51.21, 52.2, 50.53, 44.54, 49.02, 45.3, 45.08, 41.68, 41.54, 43.33, 42.01, 41.12, 47.75, 44.37
La Cisterna, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 62.67, 59.32, 64.1, 56.31, 58.5, 65.95, 61.12, 50.16, 56.55, 60.47, 51.44, 42.74, 53.82, 60.94
La Granja, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 23.02, 20.0, 20.0, 19.32, 36.36, 29.92, 30.16, 27.39, 36.43, 35.81, 32.14, 29.53, 0.0, 40.66
San Ramón, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 20.07, 23.02, 24.06, 19.82, 21.74, 21.88, 19.5, 21.14, 17.65, 17.89, 16.99, 21.33, 18.59, 31.45
El Bosque, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 35.43, 33.04, 34.41, 33.09, 34.44, 32.52, 50.0, 31.88, 29.01, 31.07, 35.67, 30.19, 38.66, 36.13
Padre Hurtado, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 8.89, 9.62, 16.13, 14.89, 17.02, 7.41, 9.09, 13.64, 21.28, 24.19, 13.33, 29.03, 29.41, 33.33
La Pintana, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 17.42, 15.28, 15.97, 19.74, 18.18, 21.88, 12.23, 17.06, 14.08, 20.11, 16.57, 20.89, 23.62, 27.78
San Bernardo, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 30.94, 32.38, 35.31, 33.52, 34.09, 31.51, 31.59, 34.39, 34.78, 35.07, 33.31, 33.59, 42.58, 43.06
